BF (Right Hamstring)1,ST (Left Hamstring)1,BF (Right Hamstring)2,ST (Left Hamstring)2,BF (Right Hamstring)3,ST (Left Hamstring)3,BF (Right Hamstring)4,ST (Left Hamstring)4,BF (Right Hamstring)5,ST (Left Hamstring)5,BF (Right Hamstring)6,ST (Left Hamstring)6,BF (Right Hamstring)7,ST (Left Hamstring)7,BF (Right Hamstring)8,ST (Left Hamstring)8,BF (Right Hamstring)9,ST (Left Hamstring)9,BF (Right Hamstring)10,ST (Left Hamstring)10,BF (Right Hamstring)11,ST (Left Hamstring)11,BF (Right Hamstring)12,ST (Left Hamstring)12,BF (Right Hamstring)13,ST (Left Hamstring)13,BF (Right Hamstring)14,ST (Left Hamstring)14,BF (Right Hamstring)15,ST (Left Hamstring)15,BF (Right Hamstring)16,ST (Left Hamstring)16,BF (Right Hamstring)17,ST (Left Hamstring)17,BF (Right Hamstring)18,ST (Left Hamstring)18,BF (Right Hamstring)19,ST (Left Hamstring)19,BF (Right Hamstring)20,ST (Left Hamstring)20,BF (Right Hamstring)21,ST (Left Hamstring)21,BF (Right Hamstring)22,ST (Left Hamstring)22,BF (Right Hamstring)23,ST (Left Hamstring)23,BF (Right Hamstring)24,ST (Left Hamstring)24,BF (Right Hamstring)25,ST (Left Hamstring)25,BF (Right Hamstring)26,ST (Left Hamstring)26,BF (Right Hamstring)27,ST (Left Hamstring)27,BF (Right Hamstring)28,ST (Left Hamstring)28,BF (Right Hamstring)29,ST (Left Hamstring)29,BF (Right Hamstring)30,ST (Left Hamstring)30,BF (Right Hamstring)31,ST (Left Hamstring)31,BF (Right Hamstring)32,ST (Left Hamstring)32,BF (Right Hamstring)33,ST (Left Hamstring)33,BF (Right Hamstring)34,ST (Left Hamstring)34,BF (Right Hamstring)35,ST (Left Hamstring)35,BF (Right Hamstring)36,ST (Left Hamstring)36,BF (Right Hamstring)37,ST (Left Hamstring)37,BF (Right Hamstring)38,ST (Left Hamstring)38,BF (Right Hamstring)39,ST (Left Hamstring)39,BF (Right Hamstring)40,ST (Left Hamstring)40,BF (Right Hamstring)41,ST (Left Hamstring)41,BF (Right Hamstring)42,ST (Left Hamstring)42,BF (Right Hamstring)43,ST (Left Hamstring)43,BF (Right Hamstring)44,ST (Left Hamstring)44,BF (Right Hamstring)45,ST (Left Hamstring)45,BF (Right Hamstring)46,ST (Left Hamstring)46,BF (Right Hamstring)47,ST (Left Hamstring)47,BF (Right Hamstring)48,ST (Left Hamstring)48,BF (Right Hamstring)49,ST (Left Hamstring)49,BF (Right Hamstring)50,ST (Left Hamstring)50,BF (Right Hamstring)51,ST (Left Hamstring)51,BF (Right Hamstring)52,ST (Left Hamstring)52,BF (Right Hamstring)53,ST (Left Hamstring)53,BF (Right Hamstring)54,ST (Left Hamstring)54,BF (Right Hamstring)55,ST (Left Hamstring)55,BF (Right Hamstring)56,ST (Left Hamstring)56,BF (Right Hamstring)57,ST (Left Hamstring)57,BF (Right Hamstring)58,ST (Left Hamstring)58,BF (Right Hamstring)59,ST (Left Hamstring)59,BF (Right Hamstring)60,ST (Left Hamstring)60,BF (Right Hamstring)61,ST (Left Hamstring)61,BF (Right Hamstring)62,ST (Left Hamstring)62,BF (Right Hamstring)63,ST (Left Hamstring)63,BF (Right Hamstring)64,ST (Left Hamstring)64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,181,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
